ring,x,y
0,0,1
0,0.0018765745,1.0612342014
0,0.0018765745,0.9387657986
0,0.0028100857,1.0749151169
0,0.0028100857,0.9250848831
0,0.0042546871,1.0921480974
0,0.0042546871,0.9078519026
0,0.0050917463,1.1007847548
0,0.0050917463,0.8992152452
0,0.0052471561,1.1023072804
0,0.0052471561,0.8976927196
0,0.0053654965,1.1034514594
0,0.0053654965,0.8965485406
0,0.0064835828,1.1136887361
0,0.0064835828,0.8863112639
0,0.0075943442,1.1230081881
0,0.0075943442,0.8769918119
0,0.0083260341,1.1287740086
0,0.0083260341,0.8712259914
0,0.0099179191,1.1404901171
0,0.0099179191,0.8595098829
0,0.0116572338,1.1522451199
0,0.0116572338,0.8477548801
0,0.0139951287,1.1667165071
0,0.0139951287,0.8332834929
0,0.014055327,1.1670721457
0,0.014055327,0.8329278543
0,0.0141613656,1.167696711
0,0.0141613656,0.832303289
0,0.0160583523,1.178490431
0,0.0160583523,0.821509569
0,0.0162744615,1.1796776696
0,0.0162744615,0.8203223304
0,0.0184250562,1.1910775492
0,0.0184250562,0.8089224508
0,0.0186147443,1.1920494205
0,0.0186147443,0.8079505795
0,0.021711804,1.2072491388
0,0.021711804,0.7927508612
0,0.0218648016,1.2079700309
0,0.0218648016,0.7920299691
0,0.0241771177,1.2185628112
0,0.0241771177,0.7814371888
0,0.0265470259,1.2288871058
0,0.0265470259,0.7711128942
0,0.0277404701,1.2339046955
0,0.0277404701,0.7660953045
0,0.0283060344,1.2362431739
0,0.0283060344,0.7637568261
0,0.0295612495,1.2413475328
0,0.0295612495,0.7586524672
0,0.0335357641,1.2568012475
0,0.0335357641,0.7431987525
0,0.0354400044,1.2638636295
0,0.0354400044,0.7361363705
0,0.0358498031,1.2653571138
0,0.0358498031,0.7346428862
0,0.0365777682,1.2679880654
0,0.0365777682,0.7320119346
0,0.0369090717,1.2691762692
0,0.0369090717,0.7308237308
0,0.0376327909,1.2717523777
0,0.0376327909,0.7282476223
0,0.0386601309,1.2753645877
0,0.0386601309,0.7246354123
0,0.0393282725,1.2776865713
0,0.0393282725,0.7223134287
0,0.0395254898,1.2783679494
0,0.0395254898,0.7216320506
0,0.0402346393,1.2808032272
0,0.0402346393,0.7191967728
0,0.0422501764,1.2876026346
0,0.0422501764,0.7123973654
0,0.0422843462,1.2877163993
0,0.0422843462,0.7122836007
0,0.0429328363,1.2898662523
0,0.0429328363,0.7101337477
0,0.0434209355,1.291472972
0,0.0434209355,0.708527028
0,0.0435264073,1.2918188934
